Channel,Feature,Comparison,U_statistic,p_value,p_adjusted,Significant,Effect_Size_r,N1,N2
Red,Amplitude,Normal vs Ischaemia,900.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,-1.0,30,30
Red,Amplitude,Normal vs Congestion,659.0,0.002052333872380414,0.006157001617141241,Yes,-0.46444444444444444,30,30
Red,Amplitude,Ischaemia vs Congestion,0.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,1.0,30,30
Red,AUC,Normal vs Ischaemia,892.0,6.69551896550012e-11,2.008655689650036e-10,Yes,-0.9822222222222223,30,30
Red,AUC,Normal vs Congestion,550.0,0.14127750644049153,0.4238325193214746,No,-0.22222222222222232,30,30
Red,AUC,Ischaemia vs Congestion,8.0,6.69551896550012e-11,2.008655689650036e-10,Yes,0.9822222222222222,30,30
Red,S_AUC,Normal vs Ischaemia,460.0,0.8883028421533887,1.0,No,-0.022222222222222143,30,30
Red,S_AUC,Normal vs Congestion,348.0,0.13345408758779304,0.4003622627633791,No,0.22666666666666668,30,30
Red,S_AUC,Ischaemia vs Congestion,311.0,0.04059500053669265,0.12178500161007794,No,0.3088888888888889,30,30
Red,D_AUC,Normal vs Ischaemia,646.0,0.0026929045334145524,0.008078713600243658,Yes,-0.4355555555555555,30,30
Red,D_AUC,Normal vs Congestion,567.5,0.07112687479017783,0.2133806243705335,No,-0.26111111111111107,30,30
Red,D_AUC,Ischaemia vs Congestion,347.0,0.10764572124455941,0.32293716373367826,No,0.22888888888888892,30,30
Red,AUC_Ratio,Normal vs Ischaemia,101.0,0.09448053396497641,0.28344160189492923,No,0.3355263157894737,19,16
Red,AUC_Ratio,Normal vs Congestion,94.0,0.09594245788197209,0.28782737364591626,No,0.3403508771929824,19,15
Red,AUC_Ratio,Ischaemia vs Congestion,125.0,0.8588186957821996,1.0,No,-0.04166666666666674,16,15
Red,Start_Datum_Area,Normal vs Ischaemia,900.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,-1.0,30,30
