Channel,Depth,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity
Red,3,Normal vs Ischaemia,1.0,1.0,0.9999999999999999,1.0,0.9198571948289399,1.0,1.0
Red,3,Normal vs Congestion,0.5811111111111111,0.5813431571464284,0.4354067637155872,0.7235330737934906,1.0118579756955848,0.5,0.7
Red,3,Ischaemia vs Congestion,0.0,0.0,0.0,0.0,inf,0.0,1.0
Red,9,Normal vs Ischaemia,0.8344444444444444,0.8365165697318184,0.730695472834887,0.9267375552914769,0.5462556579038602,0.8,0.8
Red,9,Normal vs Congestion,0.31333333333333335,0.3112425209738813,0.1976614748677249,0.46414390616693246,0.7390618755204896,0.06666666666666667,0.9666666666666667
Red,9,Ischaemia vs Congestion,0.09888888888888889,0.09582796061245497,0.03251178451178454,0.18040902162147995,inf,0.0,1.0
Red,15,Normal vs Ischaemia,0.6388888888888888,0.6393557386509628,0.4852549184657028,0.7941757181181704,0.4805869673126305,0.9,0.5
Red,15,Normal vs Congestion,0.3177777777777777,0.3210854885638956,0.20097586726998493,0.48127491919844867,0.4805869673126305,0.9,0.16666666666666663
Red,15,Ischaemia vs Congestion,0.3233333333333333,0.33945998961299756,0.17808159722222222,0.48761794083085647,0.6079613663373709,0.13333333333333333,0.9666666666666667
Red,21,Normal vs Ischaemia,0.7488888888888889,0.7511143720206968,0.6193876491727863,0.8689144237882602,0.5492469795348284,0.8,0.7333333333333334
Red,21,Normal vs Congestion,0.3244444444444444,0.3222942909473433,0.2058692226890756,0.4741461331234993,inf,0.0,1.0
Red,21,Ischaemia vs Congestion,0.16777777777777775,0.1670106557191552,0.07337379118744379,0.28169253812636164,inf,0.0,1.0
IR,3,Normal vs Ischaemia,1.0,1.0,0.9999999999999999,1.0,0.9435195279142129,1.0,1.0
IR,3,Normal vs Congestion,1.0,1.0,0.9999999999999999,1.0,0.9435195279142129,1.0,1.0
IR,3,Ischaemia vs Congestion,0.10666666666666667,0.10490524423446193,0.028164470511039166,0.20657870179929005,inf,0.0,1.0
IR,9,Normal vs Ischaemia,1.0,1.0,0.9999999999999999,1.0,0.41337912052933745,1.0,1.0
IR,9,Normal vs Congestion,0.6799999999999999,0.6814955427950307,0.5473778550969447,0.814454761904762,0.46732854909588994,0.8,0.7333333333333334
IR,9,Ischaemia vs Congestion,0.0,0.0,0.0,0.0,inf,0.0,1.0
IR,15,Normal vs Ischaemia,1.0,1.0,0.9999999999999999,1.0,0.32059768695288254,1.0,1.0
IR,15,Normal vs Congestion,0.78,0.7791251625778213,0.64498248430886,0.9085946994182289,0.3394387439670571,0.8666666666666667,0.8333333333333334
IR,15,Ischaemia vs Congestion,0.005555555555555554,0.005242578017517542,0.0,0.022334074898034875,inf,0.0,1.0
IR,21,Normal vs Ischaemia,0.9777777777777779,0.9772892470032585,0.9366438589324618,0.9989118303571429,0.25441836932343476,1.0,0.8666666666666667
IR,21,Normal vs Congestion,0.48111111111111116,0.4878162389963909,0.3288853502383241,0.6385551204012689,0.29073333937329576,0.5,0.7666666666666666
IR,21,Ischaemia vs Congestion,0.031111111111111103,0.02979757494159597,0.0044571428571428574,0.08048948236135392,inf,0.0,1.0
