RiseTime_s,FallTime_s,PulseWidth_s
0.2725,0.031,0.301
0.2725,0.4895,0.7595
0.029,0.4895,0.5135
0.3315,0.3535,0.6785
0.2285,0.0135,0.237
0.2285,0.432,0.6545
0.0515,0.5095,0.5545
0.33,0.4745,0.797
0.089,0.4745,0.5585
0.51,0.0885,0.5965
0.3115,0.452,0.7525
0.1915,0.612,0.7975
0.388,0.1335,0.5175
0.308,0.592,0.89
0.2115,0.071,0.276
0.2115,0.431,0.636
0.1315,0.8125,0.93
0.229,0.1135,0.3375
0.229,0.331,0.555
0.194,0.672,0.8485
0.2115,0.2925,0.499
0.1315,0.6715,0.793
0.329,0.031,0.355
0.329,0.4935,0.8175
0.149,0.6535,0.7915
0.4515,0.071,0.516
0.4515,0.431,0.876
0.1115,0.431,0.5335
0.2875,0.492,0.7745
0.1465,0.492,0.632
0.435,0.011,0.4435
0.435,0.4685,0.901
0.1915,0.651,0.835
0.0115,0.4935,0.5
0.39,0.572,0.9535
0.349,0.091,0.435
0.349,0.472,0.815
0.189,0.472,0.656
0.3525,0.331,0.681
0.0915,0.692,0.772
0.349,0.011,0.355
0.349,0.351,0.695
0.009,0.5745,0.57
0.2505,0.231,0.4775
0.073,0.6895,0.756
0.249,0.412,0.656
0.0705,0.7145,0.776
0.2515,0.151,0.4
0.2515,0.5295,0.7775
0.0065,0.532,0.532
0.234,0.187,0.4185
0.234,0.6505,0.882
0.0715,0.392,0.456
0.4275,0.4145,0.8395
0.049,0.4145,0.4535
0.63,0.1295,0.7555
0.49,0.3105,0.7955
0.431,0.0135,0.438
0.431,0.4105,0.835
0.1675,0.4105,0.5755
0.009,0.2495,0.256
0.1115,0.4705,0.577
0.37,0.0095,0.3775
0.37,0.413,0.7805
0.069,0.7525,0.8155
0.1915,0.4705,0.658
0.1515,0.794,0.933
0.21,0.0085,0.2165
0.21,0.3105,0.518
0.1315,0.549,0.669
0.371,0.1335,0.4995
0.13,0.573,0.6895
0.3475,0.0135,0.357
0.3475,0.553,0.8955
0.089,0.6355,0.7155
0.2875,0.272,0.557
0.2875,0.553,0.838
0.009,0.392,0.3935
0.431,0.412,0.8395
0.19,0.652,0.8395
0.19,0.006,0.194
