[2026-01-25 12:59:48] FIXED ANALYSIS START
[2026-01-25 12:59:49] --- Statistics for Red ---
[2026-01-25 12:59:49]   PI (Normal): Mean=0.1122, Median=0.1116, N=30
[2026-01-25 12:59:49]   PI (Ischaemia): Mean=0.0666, Median=0.0655, N=30
[2026-01-25 12:59:49]   PI (Congestion): Mean=0.1060, Median=0.1035, N=31
[2026-01-25 12:59:49]   Crest_Time (Normal): Mean=0.2061, Median=0.1948, N=30
[2026-01-25 12:59:49]   Crest_Time (Ischaemia): Mean=0.2118, Median=0.2288, N=30
[2026-01-25 12:59:49]   Crest_Time (Congestion): Mean=0.1996, Median=0.1885, N=31
[2026-01-25 12:59:49]   Decay_Time (Normal): Mean=0.7582, Median=0.7900, N=30
[2026-01-25 12:59:49]   Decay_Time (Ischaemia): Mean=0.7602, Median=0.7668, N=30
[2026-01-25 12:59:49]   Decay_Time (Congestion): Mean=0.7528, Median=0.7840, N=31
[2026-01-25 12:59:49]   Pulse_Width (Normal): Mean=0.9643, Median=0.9612, N=30
[2026-01-25 12:59:49]   Pulse_Width (Ischaemia): Mean=0.9720, Median=0.9752, N=30
[2026-01-25 12:59:49]   Pulse_Width (Congestion): Mean=0.9524, Median=0.9585, N=31
[2026-01-25 12:59:49]   PW50 (Normal): Mean=0.5524, Median=0.5480, N=30
[2026-01-25 12:59:49]   PW50 (Ischaemia): Mean=0.5789, Median=0.5577, N=30
[2026-01-25 12:59:49]   PW50 (Congestion): Mean=0.5545, Median=0.5420, N=31
[2026-01-25 12:59:49]   Upslope (Normal): Mean=10.6970, Median=10.8621, N=30
[2026-01-25 12:59:49]   Upslope (Ischaemia): Mean=11.0192, Median=11.3645, N=30
[2026-01-25 12:59:49]   Upslope (Congestion): Mean=10.6292, Median=10.3141, N=31
[2026-01-25 12:59:49]   Downslope (Normal): Mean=-3.6015, Median=-3.4851, N=30
[2026-01-25 12:59:49]   Downslope (Ischaemia): Mean=-5.3680, Median=-5.4513, N=30
[2026-01-25 12:59:49]   Downslope (Congestion): Mean=-3.8008, Median=-3.5574, N=31
[2026-01-25 12:59:49]   Delta_T (Normal): Mean=0.0532, Median=0.0688, N=30
[2026-01-25 12:59:49]   Delta_T (Ischaemia): Mean=0.0505, Median=0.0602, N=30
[2026-01-25 12:59:49]   Delta_T (Congestion): Mean=0.0696, Median=0.0740, N=31
[2026-01-25 12:59:49]   RWI (Normal): Mean=0.8796, Median=0.8766, N=30
[2026-01-25 12:59:49]   RWI (Ischaemia): Mean=0.8708, Median=0.8766, N=30
[2026-01-25 12:59:49]   RWI (Congestion): Mean=0.9006, Median=0.9078, N=31
[2026-01-25 12:59:49]   DNP (Normal): Mean=0.1833, Median=0.0874, N=30
[2026-01-25 12:59:49]   DNP (Ischaemia): Mean=0.2100, Median=0.1102, N=30
[2026-01-25 12:59:49]   DNP (Congestion): Mean=0.2238, Median=0.0711, N=31
[2026-01-25 12:59:49] --- Statistics for IR ---
[2026-01-25 12:59:49]   PI (Normal): Mean=0.2409, Median=0.2411, N=30
[2026-01-25 12:59:49]   PI (Ischaemia): Mean=0.1522, Median=0.1527, N=30
[2026-01-25 12:59:49]   PI (Congestion): Mean=0.1510, Median=0.1511, N=31
[2026-01-25 12:59:49]   Crest_Time (Normal): Mean=0.1631, Median=0.1630, N=30
[2026-01-25 12:59:49]   Crest_Time (Ischaemia): Mean=0.1513, Median=0.1500, N=30
[2026-01-25 12:59:49]   Crest_Time (Congestion): Mean=0.1865, Median=0.1745, N=31
[2026-01-25 12:59:49]   Decay_Time (Normal): Mean=0.8012, Median=0.8010, N=30
[2026-01-25 12:59:49]   Decay_Time (Ischaemia): Mean=0.8248, Median=0.8247, N=30
[2026-01-25 12:59:49]   Decay_Time (Congestion): Mean=0.7639, Median=0.7865, N=31
[2026-01-25 12:59:49]   Pulse_Width (Normal): Mean=0.9643, Median=0.9643, N=30
[2026-01-25 12:59:49]   Pulse_Width (Ischaemia): Mean=0.9761, Median=0.9763, N=30
[2026-01-25 12:59:49]   Pulse_Width (Congestion): Mean=0.9504, Median=0.9600, N=31
[2026-01-25 12:59:49]   PW50 (Normal): Mean=0.5229, Median=0.5192, N=30
[2026-01-25 12:59:49]   PW50 (Ischaemia): Mean=0.5500, Median=0.5388, N=30
