PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Upslope,Downslope,Delta_T,RWI,DNP,State,Channel
0.10355386248806162,0.158,0.798,0.956,0.625,11.506154597230761,-4.363304438436046,0.077,0.8819342419190982,0.21918784754029738,Normal,Red
0.10189236472790829,0.1645,0.799,0.9635,0.5985,10.445109694262896,-4.489735767877846,0.0775,0.9171562708406403,0.22046349522600808,Normal,Red
0.11285583157558943,0.259,0.714,0.973,0.5555,9.227548906205982,-3.5492832103566343,0.096,0.8019194908764016,0.2248904825559245,Normal,Red
0.10668845760814621,0.1725,0.818,0.9905,0.523,11.346542780510333,-2.9017883211891444,0.073,0.9667265891359829,0.09352009145011865,Normal,Red
0.09990946587293413,0.2445,0.676,0.9205,0.5525,11.244351383874232,-4.826091526112009,0.0565,0.8891248465894235,0.18809834971050365,Normal,Red
0.10430200650122659,0.1975,0.7915,0.989,0.5125,10.155048401572913,-3.9857601150367827,0.0,0.9594818846648729,0.0013625984346716173,Normal,Red
0.10994022482625403,0.1495,0.8225,0.972,0.53,11.239434359885138,-4.470688491795016,0.0665,0.8641379504301402,0.0013498495174182191,Normal,Red
0.11385435704054586,0.152,0.8015,0.9535,0.534,11.25015840919093,-2.771503857632581,0.078,0.9366666845043832,0.00011844267189059732,Normal,Red
0.11303827708860004,0.1405,0.8145,0.955,0.575,12.244400826967592,-4.013600691633428,0.07,0.9310223904202938,0.0021752744834164944,Normal,Red
0.10637609834394475,0.2735,0.6405,0.914,0.608,10.284637246785906,-2.9952060934779183,0.0615,0.8238136590043593,0.6129042239743995,Normal,Red
0.1213311711247441,0.219,0.7795,0.9985,0.4885,10.051229387747185,-4.659087952485038,0.0,0.8407092358950734,0.40051950624674093,Normal,Red
0.11641150559742117,0.186,0.716,0.902,0.49,10.958415611469832,-3.42086742503065,0.1015,0.8955030157060393,0.06804490450675664,Normal,Red
0.10724440207177986,0.274,0.685,0.959,0.5635,9.589179289848062,-5.14146694240128,0.027,0.9436410810316321,0.6104832394097349,Normal,Red
